C05001140179|AD4K01-KADIMI SWEETS|I|38 , CENTERAL ROAD, BHOGA|CENTRAL ROAD|110014|-24374617|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140180|AD4T01-TARA CHAND|I|17,CENTRAL ROAD BHOGAL|CENTRAL ROAD|110014|-24372684|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140181|AD4P02-PANDIT DI HATTI|I||CENTRAL ROAD||-|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140183|AD3B04-BANSAL STORE|I|52, CHURCH ROAD, BHOGAL|CHURCH ROAD|110014|-24377051|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140185|AD3G03-GUPTA STORE|I|49/2, CHURCH LANE, BHOGAL|CHURCH ROAD|110014|-9210226128|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140186|AD3G04-GURUNANAK STORE|I|16, MAZSIDLANE, BHOGAL|MASJID ROAD|110014|-989464218|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140189|AD3K07-KAPOOR TEA STALL|I|652 , CHURCH ROAD|CHURCH ROAD|110014|0|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140190|AD3R02-RAMA STORE|I|49/2, SAMMON BAZAR, BHOGA|CHURCH ROAD|110014|-24797123|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140191|AD3S05-SONI STORE|I|34 SAMMON BAZAR, BHOGAL|SAMMAN BAZAR|110014|-243772832|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140192|AD3S12-SHAKUNTLA STORE|I|7 , CHURCH ROAD|CHURCH ROAD|110014|-24310648|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140193|AD3T01-T.R. STORE|I|4, SAMMON BZR., JUNGPURA,|SAMMAN BAZAR|110014|-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140194|AD4N02-NARENDER STORE|I|4/34,JANGPURA EXT,|JANGPURA EXT|110014|-24378833|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140195|AD4S07-SALUJA STORE|I|29 , CHURCH LANE ; BHOGAL||110014|-24313322|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
